first_name,last_name,researcher_type_str,hash_funct,research_interest,email_id,project_working_on,department
Apple,Allen,Student,7665680644176330243,distributed_systems,apple_allen@illinois.edu,26,ECE
Apple,Garcia,Professor,7343527370368915135,architectures,apple_garcia@illinois.edu,285,ME
Apple,White,Student,1102664203790548847,cloud_computing,apple_white@illinois.edu,674,ECON
Apple,MacDonald,Student,5177267943481819699,machine_learning,apple_macdonald@illinois.edu,415,MATH
Apple,Khan,Professor,8407368533897501950,security,apple_khan@illinois.edu,135,PHYS
Apple,Moore,Grad_Student,-895194937539933847,human_computer_interaction,apple_moore@illinois.edu,26,MATH
Apple,Clark,Grad_Student,-2064549769554733890,distributed_systems,apple_clark@illinois.edu,523,CS
Apple,Lopez,Professor,-4571211877509768857,compiler_optimization,apple_lopez@illinois.edu,925,CS
Apple,Lee,Professor,703994254920515190,graphics,apple_lee@illinois.edu,508,CS
Apple,Anderson,Professor,-67244826365765930,human_computer_interaction,apple_anderson@illinois.edu,448,STAT
Apple,Sanchez,Grad_Student,594234185972527946,econometrics,apple_sanchez@illinois.edu,37,CS
Apple,Shah,Professor,-5096640956109268772,natural_language_processing,apple_shah@illinois.edu,201,ECON
Apple,Ramirez,Professor,-7076765057102951727,compiler_optimization,apple_ramirez@illinois.edu,945,PHYS
Apple,Jackson,Student,1073387953554689435,compiler_optimization,apple_jackson@illinois.edu,505,ECE
Apple,Tremblay,Student,5630562685628892539,artificial_intelligence,apple_tremblay@illinois.edu,655,STAT
Apple,Nguyen,Student,6506499445760521478,embedded_systems,apple_nguyen@illinois.edu,911,PHYS
Apple,Jones,Grad_Student,2588332736570302368,cloud_computing,apple_jones@illinois.edu,457,ECON
Apple,Miller,Student,-2361012362727169740,human_computer_interaction,apple_miller@illinois.edu,778,STAT
Apple,Martin,Professor,-1748014545249518859,graphics,apple_martin@illinois.edu,150,CS
Apple,Young,Grad_Student,3959487648563012846,bioinformatics,apple_young@illinois.edu,665,STAT
Apple,Thompson,Student,-6363952630298890504,graphics,apple_thompson@illinois.edu,247,MATH
Apple,Williams,Student,-633769573249278941,cloud_computing,apple_williams@illinois.edu,396,ECON
Apple,Harris,Student,-8301894722904316605,graph_theory,apple_harris@illinois.edu,614,ME
Apple,Walker,Grad_Student,-8633125218214690730,compiler_optimization,apple_walker@illinois.edu,749,ECE
Apple,Leblanc,Professor,-2130784329031893091,natural_language_processing,apple_leblanc@illinois.edu,159,CS
Apple,Wright,Professor,-1489463727232991514,machine_learning,apple_wright@illinois.edu,589,CS
Apple,Scott,Grad_Student,2963159480730775409,econometrics,apple_scott@illinois.edu,300,ECE
Apple,Gonzalez,Student,5555564432849456506,distributed_systems,apple_gonzalez@illinois.edu,284,ECON
Apple,Wilson,Professor,5071089781660432117,distributed_systems,apple_wilson@illinois.edu,261,CS
Apple,Smith,Grad_Student,5920889894937796336,graphics,apple_smith@illinois.edu,670,ME
Apple,Rodriguez,Professor,-6488086736018737788,architectures,apple_rodriguez@illinois.edu,958,PHYS
Apple,Johnson,Professor,1585899308910595465,architectures,apple_johnson@illinois.edu,659,ECE
Apple,Zhou,Grad_Student,4569467353081355522,compiler_optimization,apple_zhou@illinois.edu,549,STAT
Apple,Taylor,Student,-9027507429171167204,distributed_systems,apple_taylor@illinois.edu,783,ECE
Apple,Yang,Professor,6450379307464588104,high_performance_computing,apple_yang@illinois.edu,889,ECE
Apple,Wang,Grad_Student,-9182075111443251392,data_mining,apple_wang@illinois.edu,484,ME
Apple,Lewis,Grad_Student,-7763841675174689240,distributed_systems,apple_lewis@illinois.edu,624,ECE
Apple,Li,Student,5453010375293012642,security,apple_li@illinois.edu,15,ECON
Apple,Robinson,Student,7490342279546450772,embedded_systems,apple_robinson@illinois.edu,546,ME
Apple,Kapoor,Grad_Student,-3481886653524151970,embedded_systems,apple_kapoor@illinois.edu,172,STAT
Apple,Hernandez,Student,564588226436726463,cloud_computing,apple_hernandez@illinois.edu,587,STAT
Apple,King,Grad_Student,-160192190208432145,high_performance_computing,apple_king@illinois.edu,763,ME
Apple,Martinez,Grad_Student,-6254325774443948444,distributed_systems,apple_martinez@illinois.edu,376,ECON
Apple,Perez,Professor,-1648010332497088533,artificial_intelligence,apple_perez@illinois.edu,402,ME
Apple,Patel,Professor,4618418233566441845,compiler_optimization,apple_patel@illinois.edu,803,ECE
Apple,Brown,Student,1288476137588699775,bioinformatics,apple_brown@illinois.edu,335,ME
Apple,Davis,Grad_Student,-7649748676182562109,architectures,apple_davis@illinois.edu,516,ME
Apple,Gurnani,Student,-3489739880795524206,machine_learning,apple_gurnani@illinois.edu,620,MATH
Apple,Thomas,Student,-3314482697052351814,distributed_systems,apple_thomas@illinois.edu,858,CS
